10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@768fc0f2
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@5454d35e
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@5454d35e
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@20c0a64d
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@20c0a64d
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@455b6df1
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@4ddbbdf8
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@3f67593e
10:28:55,344 DEBUG BasicTypeRegistry:401 - Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@3f67593e
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@1ab06251
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@41ab013
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@14bee915
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@1115ec15
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@1115ec15
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@82ea68c
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@59e505b2
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration date -> org.hibernate.type.BasicTypeReference@3af0a9da
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@3af0a9da
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration time -> org.hibernate.type.BasicTypeReference@43b9fd5
10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@43b9fd5
